"Assay "	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Sample Characteristic[genotype]"	"Sample Characteristic Ontology Term[genotype]"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[phenotype]"	"Sample Characteristic Ontology Term[phenotype]"	"Factor Value[phenotype]"	"Factor Value Ontology Term[phenotype]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"
"SAMEA4650563"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077874"	
"SAMEA4650564"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077875"	
"SAMEA4650565"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077876"	
"SAMEA4650566"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077877"	
"SAMEA4650567"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077878"	
"SAMEA4650568"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077879"	
"SAMEA4650569"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077880"	
"SAMEA4650570"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077881"	
"SAMEA4650571"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077882"	
"SAMEA4650572"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077883"	
"SAMEA4650573"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077884"	
"SAMEA4650574"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077885"	
"SAMEA4650575"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077886"	
"SAMEA4650576"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077887"	
"SAMEA4650577"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077888"	
"SAMEA4650578"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077889"	
"SAMEA4650579"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077890"	
"SAMEA4650580"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077891"	
"SAMEA4650581"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077892"	
"SAMEA4650582"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077893"	
"SAMEA4650583"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077894"	
"SAMEA4650584"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077895"	
"SAMEA4650585"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077896"	
"SAMEA4650586"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077897"	
"SAMEA4650587"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077898"	
"SAMEA4650588"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077899"	
"SAMEA4650589"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077900"	
"SAMEA4650590"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077901"	
"SAMEA4650591"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077902"	
"SAMEA4650592"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077903"	
"SAMEA4650593"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077904"	
"SAMEA4650594"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077905"	
"SAMEA4650595"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077906"	
"SAMEA4650596"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077907"	
"SAMEA4650597"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077908"	
"SAMEA4650598"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077909"	
"SAMEA4650599"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077910"	
"SAMEA4650600"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077911"	
"SAMEA4650601"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077912"	
"SAMEA4650602"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077913"	
"SAMEA4650603"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077914"	
"SAMEA4650604"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077915"	
"SAMEA4650605"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077916"	
"SAMEA4650606"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077917"	
"SAMEA4650607"	"H9"		"embryonic stem cell"	"http://purl.obolibrary.org/obo/CL_0002322"	"embryo"	"http://purl.obolibrary.org/obo/UBERON_0000922"	"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"doxycycline-inducible expression of NANOG and KLF2"		"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"inner cell mass"	"http://purl.obolibrary.org/obo/UBERON_0000087"	"naive"		"naive"		"3600STDY6077918"	
