Source Name	Comment [ENA_SAMPLE]	Comment [BIOSAMPLE]	Comment [Sample_description]	Characteristics [organism]	Characteristics [individual]	Characteristics [organism part]	Characteristics [cell type]	Characteristics [phenotype]	Characteristics [disease]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment [single cell isolation]	Comment [input molecule]	Comment [library construction]	Comment [end bias]	Comment [primer]	Comment [LIBRARY_STRAND]	Comment [LIBRARY_LAYOUT]	Comment [LIBRARY_SOURCE]	Comment [LIBRARY_STRATEGY]	Comment [LIBRARY_SELECTION]	Comment [INSTRUMENT_MODEL]	Assay Name	Comment [technical replicate group]	Comment [ENA_EXPERIMENT]	Comment [Platform_title]	Technology Type	Protocol REF	Protocol REF	Scan Name	Comment [ENA_RUN]	Comment [FASTQ_URI]	FactorValue [single cell identifier]	FactorValue [disease]	FactorValue [stimulus]
GSM3038447 1	SRS3036254	SAMN08687962	28_1_C55	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038447 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038447	not applicable	SRX3782995	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826815	SRR6826815	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6826815/SRR6826815.fastq.gz	Donor2_TCR_cell14	HIV infection	T cell receptor-mediated stimulation
GSM3038446 1	SRS3036251	SAMN08687963	28_1_C23	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038446 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038446	not applicable	SRX3782994	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826814	SRR6826814	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6826814/SRR6826814.fastq.gz	Donor2_TCR_cell13	HIV infection	T cell receptor-mediated stimulation
GSM3038445 1	SRS3036252	SAMN08687964	28_1_C22	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038445 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038445	not applicable	SRX3782993	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826813	SRR6826813	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6826813/SRR6826813.fastq.gz	Donor2_TCR_cell12	HIV infection	T cell receptor-mediated stimulation
GSM3038444 1	SRS3036250	SAMN08687965	28_1_C12	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038444 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038444	not applicable	SRX3782992	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826812	SRR6826812	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6826812/SRR6826812.fastq.gz	Donor2_TCR_cell11	HIV infection	T cell receptor-mediated stimulation
GSM3038443 1	SRS3036249	SAMN08687966	28_1_C10	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038443 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038443	not applicable	SRX3782991	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826811	SRR6826811	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6826811/SRR6826811.fastq.gz	Donor2_TCR_cell10	HIV infection	T cell receptor-mediated stimulation
GSM3038442 1	SRS3036248	SAMN08687967	28_1_C07	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038442 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038442	not applicable	SRX3782990	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826810	SRR6826810	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6826810/SRR6826810.fastq.gz	Donor2_TCR_cell9	HIV infection	T cell receptor-mediated stimulation
GSM3038441 1	SRS3036247	SAMN08687968	28_0_C56	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038441 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038441	not applicable	SRX3782989	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826809	SRR6826809	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6826809/SRR6826809.fastq.gz	Donor2_TCR_cell8	HIV infection	T cell receptor-mediated stimulation
GSM3038440 1	SRS3036246	SAMN08687969	28_0_C24	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038440 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038440	not applicable	SRX3782988	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826808	SRR6826808	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6826808/SRR6826808.fastq.gz	Donor2_TCR_cell7	HIV infection	T cell receptor-mediated stimulation
GSM3038439 1	SRS3036245	SAMN08687970	28_0_C21	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038439 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038439	not applicable	SRX3782987	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826807	SRR6826807	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6826807/SRR6826807.fastq.gz	Donor2_TCR_cell6	HIV infection	T cell receptor-mediated stimulation
GSM3038438 1	SRS3036244	SAMN08687971	28_0_C20	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038438 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038438	not applicable	SRX3782986	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826806	SRR6826806	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6826806/SRR6826806.fastq.gz	Donor2_TCR_cell5	HIV infection	T cell receptor-mediated stimulation
GSM3038437 1	SRS3036243	SAMN08687972	28_0_C19	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038437 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038437	not applicable	SRX3782985	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826805	SRR6826805	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6826805/SRR6826805.fastq.gz	Donor2_TCR_cell4	HIV infection	T cell receptor-mediated stimulation
GSM3038436 1	SRS3036242	SAMN08687973	28_0_C11	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038436 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038436	not applicable	SRX3782984	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826804	SRR6826804	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6826804/SRR6826804.fastq.gz	Donor2_TCR_cell3	HIV infection	T cell receptor-mediated stimulation
GSM3038435 1	SRS3036241	SAMN08687974	28_0_C09	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038435 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038435	not applicable	SRX3782983	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826803	SRR6826803	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6826803/SRR6826803.fastq.gz	Donor2_TCR_cell2	HIV infection	T cell receptor-mediated stimulation
GSM3038434 1	SRS3036238	SAMN08687975	28_0_C08	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038434 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038434	not applicable	SRX3782982	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826802	SRR6826802	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6826802/SRR6826802.fastq.gz	Donor2_TCR_cell1	HIV infection	T cell receptor-mediated stimulation
GSM3038433 1	SRS3036239	SAMN08687976	27_1_C96	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038433 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038433	not applicable	SRX3782981	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826801	SRR6826801	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6826801/SRR6826801.fastq.gz	Donor2_untreated_cell24	HIV infection	none
GSM3038432 1	SRS3036240	SAMN08687977	27_1_C89	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038432 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038432	not applicable	SRX3782980	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826800	SRR6826800	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/000/SRR6826800/SRR6826800.fastq.gz	Donor2_untreated_cell23	HIV infection	none
GSM3038431 1	SRS3036237	SAMN08687927	27_1_C88	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038431 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038431	not applicable	SRX3782979	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826799	SRR6826799	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/009/SRR6826799/SRR6826799.fastq.gz	Donor2_untreated_cell22	HIV infection	none
GSM3038430 1	SRS3036236	SAMN08687928	27_1_C87	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038430 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038430	not applicable	SRX3782978	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826798	SRR6826798	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/008/SRR6826798/SRR6826798.fastq.gz	Donor2_untreated_cell21	HIV infection	none
GSM3038429 1	SRS3036235	SAMN08687929	27_1_C79	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038429 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038429	not applicable	SRX3782977	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826797	SRR6826797	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/007/SRR6826797/SRR6826797.fastq.gz	Donor2_untreated_cell20	HIV infection	none
GSM3038428 1	SRS3036234	SAMN08687930	27_1_C71	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038428 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038428	not applicable	SRX3782976	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826796	SRR6826796	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/006/SRR6826796/SRR6826796.fastq.gz	Donor2_untreated_cell19	HIV infection	none
GSM3038427 1	SRS3036233	SAMN08687931	27_1_C69	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038427 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038427	not applicable	SRX3782975	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826795	SRR6826795	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/005/SRR6826795/SRR6826795.fastq.gz	Donor2_untreated_cell18	HIV infection	none
GSM3038426 1	SRS3036232	SAMN08687932	27_1_C61	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038426 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038426	not applicable	SRX3782974	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826794	SRR6826794	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/004/SRR6826794/SRR6826794.fastq.gz	Donor2_untreated_cell17	HIV infection	none
GSM3038425 1	SRS3036229	SAMN08687933	27_1_C58	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038425 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038425	not applicable	SRX3782973	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826793	SRR6826793	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/003/SRR6826793/SRR6826793.fastq.gz	Donor2_untreated_cell16	HIV infection	none
GSM3038424 1	SRS3036231	SAMN08687934	27_1_C56	Homo sapiens	donor2	blood	CD4-positive helper T cell	resting, latent phenotype	HIV infection	cell	P-GSE111727-1	P-GSE111727-2	P-GSE111727-3	P-GSE111727-4	GSM3038424 extract 1	Fluidigm C1	polyA RNA	smart-like	none	modified oligo-dT	not applicable	SINGLE	transcriptomic	RNA-Seq	cDNA	Illumina HiSeq 2500	GSM3038424	not applicable	SRX3782972	Illumina HiSeq 2500 (Homo sapiens)	sequencing assay	P-GSE111727-5	P-GSE111727-6	SRR6826792	SRR6826792	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/002/SRR6826792/SRR6826792.fastq.gz	Donor2_untreated_cell15	HIV infection	none
